stock,price,date,time
META,656.29,03-11-2025,13:59:26
GOOGL,283.35,03-11-2025,13:59:30
WMT,100.91,03-11-2025,13:59:52
NVDA,202.49,03-11-2025,14:08:44
AAPL,270.37,03-11-2025,14:08:47
MSFT,517.81,03-11-2025,14:09:05
AMZN,244.22,03-11-2025,14:09:08
META,648.35,03-11-2025,14:09:11
GOOGL,281.19,03-11-2025,14:09:14
NFLX,1132.94,03-11-2025,14:09:47
AMD,256.12,03-11-2025,14:09:50
RACE,397.90,03-11-2025,14:10:06
IBM,307.41,03-11-2025,14:10:20
TM,205.80,03-11-2025,14:10:35
MA,559.57,03-11-2025,14:10:39
WMT,102.23,03-11-2025,14:10:42
